window_start,window_end,loss,id_loss,counterfactual_absolute_id,counterfactual_directional,counterfactual_directional_gain,sim_to_matched_A,sim_to_wrong_B,counterfactual_applied_fraction,cap_excess,null_residual,sa_ref_norm,total_grad_norm,connector_up_grad_norm,ref_k_grad_norm,ref_v_grad_norm
0,2000,0.227343508,0.107818103,0.957937595,0.575047054,-0.703291710,0.745354115,0.042062406,0.419500,0.018285397,0.000012916,4.463853380,0.004492664,0.004443421,0.000034629,0.000295398
2000,4000,0.231519958,0.114675121,0.938536799,0.541007122,-0.677466564,0.738929764,0.061463200,0.442500,0.054808682,0.000007104,9.935141280,0.006547079,0.006435997,0.000131986,0.000625631
