architecture_id,base_architecture_id,dataset_profile,run_name,run_status,comet_experiment_key,comet_metric_upload,mode,step,sample_count,clip_model,median_reference_similarity,median_reference_gain_vs_pm,median_face_similarity_to_pm_output,median_face_distance_from_pm_output,median_bbox_iou_vs_pm,median_landmark_displacement_vs_pm,median_full_mae_vs_pm,median_face_mae_vs_pm,median_outside_mae_vs_pm,median_prompt_image_clip_cosine,median_prompt_image_clip_score,median_pm_prompt_image_clip_cosine,median_prompt_image_clip_gain_vs_pm,face_detection_rate,selection_score
L4_C1_large_projection_alt,L4_C1_large_projection_alt,cosmic_large_id00081,23Jul4k_L4_C1_large_projection_alt_id00081_s0_4000__20260723T230116Z,completed,298629674b124ba78aa00c2316352db5,completed,canonical50,0,4,ViT-L/14@336px,0.25488514453172684,-0.2672545164823532,0.3903033286333084,0.6096966713666916,0.9297666847705841,0.03182726519815843,0.024181032553315163,0.10624078661203384,0.019123870879411697,0.24637575447559357,24.637575447559357,0.22367063164710999,0.024672910571098328,1.0,0.27171196836959244
L4_C1_large_projection_alt,L4_C1_large_projection_alt,cosmic_large_id00081,23Jul4k_L4_C1_large_projection_alt_id00081_s0_4000__20260723T230116Z,completed,298629674b124ba78aa00c2316352db5,completed,canonical50,500,4,ViT-L/14@336px,0.35010257363319397,-0.18524393439292908,0.5216356813907623,0.47836431860923767,0.9536072313785553,0.019469057829097455,0.02343607973307371,0.08500603213906288,0.01878091972321272,0.23490358889102936,23.490358889102936,0.22367063164710999,0.009358920156955719,1.0,0.36022909144175713
L4_C1_large_projection_alt,L4_C1_large_projection_alt,cosmic_large_id00081,23Jul4k_L4_C1_large_projection_alt_id00081_s0_4000__20260723T230116Z,completed,298629674b124ba78aa00c2316352db5,completed,canonical50,1000,4,ViT-L/14@336px,0.357936829328537,-0.1759927123785019,0.5214818120002747,0.47851818799972534,0.9574877917766571,0.020464057623512548,0.022943884134292603,0.09211958199739456,0.01825846079736948,0.250101275742054,25.0101275742054,0.22367063164710999,0.02207043021917343,1.0,0.36816899810110476
L4_C1_large_projection_alt,L4_C1_large_projection_alt,cosmic_large_id00081,23Jul4k_L4_C1_large_projection_alt_id00081_s0_4000__20260723T230116Z,completed,298629674b124ba78aa00c2316352db5,completed,canonical50,1500,4,ViT-L/14@336px,0.35983461141586304,-0.16830605268478394,0.4328891187906265,0.5671108812093735,0.9535735547542572,0.019463732191185155,0.023213260807096958,0.09395717084407806,0.01852615550160408,0.2436576709151268,24.36576709151268,0.22367063164710999,0.012239627540111542,1.0,0.3884827228661477
L4_C1_large_projection_alt,L4_C1_large_projection_alt,cosmic_large_id00081,23Jul4k_L4_C1_large_projection_alt_id00081_s0_4000__20260723T230116Z,completed,298629674b124ba78aa00c2316352db5,completed,canonical50,2000,4,ViT-L/14@336px,0.2916533946990967,-0.23862868547439575,0.4376968741416931,0.5623031258583069,0.9548250436782837,0.01953716167895659,0.023420296609401703,0.09129048883914948,0.018806271255016327,0.24315377324819565,24.315377324819565,0.22367063164710999,0.01598329097032547,1.0,0.3183894635872742
L4_C1_large_projection_alt,L4_C1_large_projection_alt,cosmic_large_id00081,23Jul4k_L4_C1_large_projection_alt_id00081_s0_4000__20260723T230116Z,completed,298629674b124ba78aa00c2316352db5,completed,canonical50,2500,4,ViT-L/14@336px,0.29747921228408813,-0.22071141004562378,0.42152875661849976,0.5784712433815002,0.9460227787494659,0.019560977595392645,0.023752271197736263,0.0957416370511055,0.018859258852899075,0.24671414494514465,24.671414494514465,0.22367063164710999,0.01594986766576767,1.0,0.327254218008602
L4_C1_large_projection_alt,L4_C1_large_projection_alt,cosmic_large_id00081,23Jul4k_L4_C1_large_projection_alt_id00081_s0_4000__20260723T230116Z,completed,298629674b124ba78aa00c2316352db5,completed,canonical50,3000,4,ViT-L/14@336px,0.31102634966373444,-0.21683694422245026,0.4180804193019867,0.5819195806980133,0.9353817105293274,0.021068667364887286,0.024151059798896313,0.0957350954413414,0.019168793223798275,0.2472374439239502,24.72374439239502,0.22367063164710999,0.021052829921245575,1.0,0.3383008850846113
L4_C1_large_projection_alt,L4_C1_large_projection_alt,cosmic_large_id00081,23Jul4k_L4_C1_large_projection_alt_id00081_s0_4000__20260723T230116Z,completed,298629674b124ba78aa00c2316352db5,completed,canonical50,3500,4,ViT-L/14@336px,0.29100288450717926,-0.22718773782253265,0.3750421404838562,0.6249578595161438,0.9390343129634857,0.02546629737637248,0.0240440359339118,0.09779074043035507,0.018890184350311756,0.2630476802587509,26.30476802587509,0.22367063164710999,0.029838092625141144,1.0,0.321124457294914
L4_C1_large_projection_alt,L4_C1_large_projection_alt,cosmic_large_id00081,23Jul4k_L4_C1_large_projection_alt_id00081_s0_4000__20260723T230116Z,completed,298629674b124ba78aa00c2316352db5,completed,canonical50,4000,4,ViT-L/14@336px,0.31205448508262634,-0.20613613724708557,0.4191486984491348,0.5808513015508652,0.9349779486656189,0.02381005183554105,0.02435298264026642,0.10020936280488968,0.019115646369755268,0.25646543502807617,25.646543502807617,0.22367063164710999,0.030758224427700043,1.0,0.335162728530222
L4_O1_oneid_projection_alt,L4_O1_oneid_projection_alt,one_id_nm0005092_subset8_distinct,23Jul4k_L4_O1_oneid_projection_alt_nm0005092_oneid8_distinct_s0_4000__20260723T230116Z,completed,b7e8b60f526740a7abb134147ced6c8f,completed,canonical50,0,4,ViT-L/14@336px,0.3434416502714157,0.06891703605651855,0.503709614276886,0.496290385723114,0.9270590543746948,0.032347007393823804,0.020581575110554695,0.09926986694335938,0.016167218796908855,0.24810998141765594,24.810998141765594,0.25814613699913025,-0.005835376679897308,1.0,0.3456775599345763
L4_O1_oneid_projection_alt,L4_O1_oneid_projection_alt,one_id_nm0005092_subset8_distinct,23Jul4k_L4_O1_oneid_projection_alt_nm0005092_oneid8_distinct_s0_4000__20260723T230116Z,completed,b7e8b60f526740a7abb134147ced6c8f,completed,canonical50,500,4,ViT-L/14@336px,0.2647012323141098,-0.045327797532081604,0.5125844776630402,0.48741552233695984,0.9429829716682434,0.018326887258179977,0.018599024042487144,0.07834154739975929,0.014993530698120594,0.25260643661022186,25.260643661022186,0.25814613699913025,-0.00525955855846405,1.0,0.28971341379987
L4_O1_oneid_projection_alt,L4_O1_oneid_projection_alt,one_id_nm0005092_subset8_distinct,23Jul4k_L4_O1_oneid_projection_alt_nm0005092_oneid8_distinct_s0_4000__20260723T230116Z,completed,b7e8b60f526740a7abb134147ced6c8f,completed,canonical50,1000,4,ViT-L/14@336px,0.26653242111206055,-0.04940754920244217,0.6257300972938538,0.37426990270614624,0.9439535140991211,0.013166218719912708,0.0188689436763525,0.08013208582997322,0.01467759907245636,0.25641827285289764,25.641827285289764,0.25814613699913025,-0.0008616447448730469,1.0,0.27760427635605167
L4_O1_oneid_projection_alt,L4_O1_oneid_projection_alt,one_id_nm0005092_subset8_distinct,23Jul4k_L4_O1_oneid_projection_alt_nm0005092_oneid8_distinct_s0_4000__20260723T230116Z,completed,b7e8b60f526740a7abb134147ced6c8f,completed,canonical50,1500,4,ViT-L/14@336px,0.2717175856232643,-0.014209948480129242,0.5556226968765259,0.4443773031234741,0.9509011507034302,0.013104441168976692,0.018578250892460346,0.076873779296875,0.014764294493943453,0.2569936066865921,25.69936066865921,0.25814613699913025,0.0014999210834503174,1.0,0.29664350101266374
L4_O1_oneid_projection_alt,L4_O1_oneid_projection_alt,one_id_nm0005092_subset8_distinct,23Jul4k_L4_O1_oneid_projection_alt_nm0005092_oneid8_distinct_s0_4000__20260723T230116Z,completed,b7e8b60f526740a7abb134147ced6c8f,completed,canonical50,2000,4,ViT-L/14@336px,0.33246511220932007,0.004599213600158691,0.5645051896572113,0.4354948103427887,0.9594780802726746,0.011510935382378615,0.01890678983181715,0.08019238337874413,0.014577701687812805,0.255354568362236,25.535456836223602,0.25814613699913025,-0.0007418468594551086,1.0,0.35856456614087145
L4_O1_oneid_projection_alt,L4_O1_oneid_projection_alt,one_id_nm0005092_subset8_distinct,23Jul4k_L4_O1_oneid_projection_alt_nm0005092_oneid8_distinct_s0_4000__20260723T230116Z,completed,b7e8b60f526740a7abb134147ced6c8f,completed,canonical50,2500,4,ViT-L/14@336px,0.30803439021110535,-0.010778553783893585,0.5682098269462585,0.43179017305374146,0.9572961330413818,0.010520098134145787,0.0188295915722847,0.07919441536068916,0.014840489253401756,0.2557305842638016,25.573058426380157,0.25814613699913025,-0.0016034990549087524,1.0,0.3340908098604297
L4_O1_oneid_projection_alt,L4_O1_oneid_projection_alt,one_id_nm0005092_subset8_distinct,23Jul4k_L4_O1_oneid_projection_alt_nm0005092_oneid8_distinct_s0_4000__20260723T230116Z,completed,b7e8b60f526740a7abb134147ced6c8f,completed,canonical50,3000,4,ViT-L/14@336px,0.3324163258075714,0.0131448432803154,0.5621024519205093,0.43789754807949066,0.9556871354579926,0.010741269539755204,0.018711806274950504,0.07892551273107529,0.014531711116433144,0.25426073372364044,25.426073372364044,0.25814613699913025,-0.0006019547581672668,1.0,0.36028879776453726
L4_O1_oneid_projection_alt,L4_O1_oneid_projection_alt,one_id_nm0005092_subset8_distinct,23Jul4k_L4_O1_oneid_projection_alt_nm0005092_oneid8_distinct_s0_4000__20260723T230116Z,completed,b7e8b60f526740a7abb134147ced6c8f,completed,canonical50,3500,4,ViT-L/14@336px,0.3313509523868561,0.0330432653427124,0.5427300482988358,0.45726995170116425,0.9524183869361877,0.012485588289372278,0.018903492018580437,0.08047818019986153,0.014710772316902876,0.2516634464263916,25.16634464263916,0.25814613699913025,-0.002698570489883423,1.0,0.3599442433423219
L4_O1_oneid_projection_alt,L4_O1_oneid_projection_alt,one_id_nm0005092_subset8_distinct,23Jul4k_L4_O1_oneid_projection_alt_nm0005092_oneid8_distinct_s0_4000__20260723T230116Z,completed,b7e8b60f526740a7abb134147ced6c8f,completed,canonical50,4000,4,ViT-L/14@336px,0.33725130558013916,0.03023543953895569,0.5582912266254425,0.4417087733745575,0.9578990042209625,0.011244761011610326,0.018881418742239475,0.08224894851446152,0.01465791231021285,0.2561528980731964,25.61528980731964,0.25814613699913025,0.0012415498495101929,1.0,0.36475218180699664
L4_C4_large_projection_schedule,E12_projection_split_schedule,cosmic_large_id00081,23Jul4k_L4_C4_large_projection_schedule_id00081_s0_4000__20260724T011752Z,completed,4c5910831d3a4698aa9f1159d3b69362,completed,canonical50,0,4,ViT-L/14@336px,0.25488514453172684,-0.2672545164823532,0.3903033286333084,0.6096966713666916,0.9297666847705841,0.03182726519815843,0.024181032553315163,0.10624078661203384,0.019123870879411697,0.24637575447559357,24.637575447559357,0.22367063164710999,0.024672910571098328,1.0,0.27171196836959244
L4_C4_large_projection_schedule,E12_projection_split_schedule,cosmic_large_id00081,23Jul4k_L4_C4_large_projection_schedule_id00081_s0_4000__20260724T011752Z,completed,4c5910831d3a4698aa9f1159d3b69362,completed,canonical50,500,4,ViT-L/14@336px,0.3639000952243805,-0.15785911679267883,0.5106873959302902,0.4893126040697098,0.9673422873020172,0.02048910564886755,0.02324313297867775,0.08429115638136864,0.0186435729265213,0.23479628562927246,23.479628562927246,0.22367063164710999,0.011125653982162476,1.0,0.3750982387854572
L4_C4_large_projection_schedule,E12_projection_split_schedule,cosmic_large_id00081,23Jul4k_L4_C4_large_projection_schedule_id00081_s0_4000__20260724T011752Z,completed,4c5910831d3a4698aa9f1159d3b69362,completed,canonical50,1000,4,ViT-L/14@336px,0.3658938407897949,-0.18194790184497833,0.48566243052482605,0.514337569475174,0.9494078159332275,0.024055529085211212,0.023384113796055317,0.0943780243396759,0.018794228322803974,0.2464456707239151,24.64456707239151,0.22367063164710999,0.01914716511964798,1.0,0.376295376088601
L4_C4_large_projection_schedule,E12_projection_split_schedule,cosmic_large_id00081,23Jul4k_L4_C4_large_projection_schedule_id00081_s0_4000__20260724T011752Z,completed,4c5910831d3a4698aa9f1159d3b69362,completed,canonical50,1500,4,ViT-L/14@336px,0.31966379284858704,-0.19852682948112488,0.45179758965969086,0.5482024103403091,0.9460675716400146,0.020702796276107757,0.02359234169125557,0.09298019483685493,0.01872557494789362,0.2396702989935875,23.96702989935875,0.22367063164710999,0.012301720678806305,1.0,0.34207335565880637
