checkpoint_step,validation_base,mean_directional_gain_toward_R2,bootstrap_95_low,bootstrap_95_high,positive_fraction,ppr_effect_core_mae,reference_effect_core_mae,noise_effect_core_mae,reference_over_noise_core,reference_over_noise_lpips,pm0_original_id_similarity,ppr_original_id_similarity
2000,RealVisXL,-0.00511931,-0.00888358,-0.00155455,0.479167,0.05491300,0.01254256,0.00902592,1.389616,1.715542,0.52312922,0.44449662
2000,same_SDXL,-0.00637961,-0.00970792,-0.00317629,0.364583,0.03506339,0.00912583,0.00743035,1.228182,1.442813,0.41523628,0.37245968
4000,RealVisXL,-0.00608764,-0.00958535,-0.00266235,0.432292,0.06047469,0.01358262,0.00920446,1.475656,1.912458,0.52312922,0.43380777
4000,same_SDXL,-0.00174019,-0.00463753,0.00132789,0.453125,0.03678693,0.00878819,0.00729469,1.204738,1.381652,0.41536628,0.37123128
