step_window,logged_points,loss,id_loss,id_loss_applied_fraction,null_residual,match_null_margin_penalty,cap_excess,pm_id_attenuated_fraction,sa_ref_norm,total_grad_norm,connector_up_grad_norm
0-1999,40,0.18986515,0.10722089,0.434000,0.0000013493,0.0001210835,0.000235509,0.500000,2.580081,0.00192992,0.00190532
2000-3999,40,0.18522742,0.10092760,0.415500,0.0000014332,0.0000000000,0.002343073,0.500000,5.806430,0.00309889,0.00304224
4000-5999,40,0.18552693,0.10148348,0.424000,0.0000006352,0.0000000011,0.003065122,0.500000,6.642713,0.00296746,0.00289496
6000-7999,40,0.18843642,0.10900778,0.436000,0.0000007888,0.0000000007,0.003349521,0.500000,7.276090,0.00300787,0.00292128
8000-9999,37,0.18264690,0.09705366,0.409189,0.0000011268,0.0000000001,0.003507271,0.500000,7.745158,0.00290886,0.00281926
