validation_step,partition,image_index,output_key,identity,prompt,seed,generated_image_count,id_sim,id_sim_legacy_best,id_sim_mask_iou,id_sim_face_count,id_sim_no_face,id_sim_unowned,id_sim_ambiguous
18000,manual_val,0,Reading pa_eddie.png,eddie,"Reading paper man img, park bench, calm face, grey overcoat",0,1,0.6191014647483826,0.037303004413843155,0.9089725177089165,1.0,0.0,0.0,0.0
18000,manual_val,1,Rushing ma_eddie.png,eddie,"Rushing man img portrait, subway platform, anxious face, swinging briefcase",0,1,0.6320282220840454,0.011518487706780434,0.8414622517819257,1.0,0.0,0.0,0.0
18000,manual_val,2,Skiing man_eddie.png,eddie,"Skiing man img, snowy slope, fearless grin, orange goggles",0,1,0.41645199060440063,0.018994316458702087,0.8898284449363586,1.0,0.0,0.0,0.0
18000,manual_val,3,Drumming m_eddie.png,eddie,"Drumming man img, rock concert in rain, passionate angry face, black t-shirt",0,1,0.623662531375885,0.026181822642683983,0.948129152581886,1.0,0.0,0.0,0.0
18000,manual_val,4,Kickboxing_eddie.png,eddie,"Kickboxing man img, gym ring, fierce roar face, sweatband",0,1,0.6252797842025757,0.03695910796523094,0.9102797507628401,1.0,0.0,0.0,0.0
18000,manual_val,5,Dancing ma_eddie.png,eddie,"Dancing man img, neon club, euphoric face, silver jumpsuit",0,1,0.39432984590530396,0.06419477611780167,0.4464468473279046,1.0,0.0,0.0,0.0
18000,manual_val,6,Angry man _eddie.png,eddie,"Angry man img, traffic jam, scowling face, dark suit",0,1,0.6136398315429688,0.03464536741375923,0.9023541203879287,1.0,0.0,0.0,0.0
18000,manual_val,7,Crying man_eddie.png,eddie,"Crying man img, stormy alley, tearful face, ripped jeans",0,1,0.5947507619857788,0.0336541049182415,0.883902100548792,1.0,0.0,0.0,0.0
18000,manual_val,8,Laughing m_eddie.png,eddie,"Laughing man img, carnival wheel, carefree laugh, polka-dot shirt",0,1,0.4859692454338074,0.042983535677194595,0.9116687066503468,1.0,0.0,0.0,0.0
18000,manual_val,9,Jumping ma_eddie.png,eddie,"Jumping man img, beach sunset, ecstatic face, blue tank top",0,1,0.33920809626579285,0.03113839589059353,0.9389571518588532,1.0,0.0,0.0,0.0
18000,manual_val,10,Night-ride_eddie.png,eddie,"Night-ride biker man img, neon city, excited face, reflective vest",0,1,0.5691140294075012,0.050536274909973145,0.8457928260140798,1.0,0.0,0.0,0.0
18000,manual_val,11,Chef man i_eddie.png,eddie,"Chef man img, bustling kitchen, proud grin, tall white toque",0,1,0.5813887715339661,0.04763810336589813,0.87947170886978,2.0,0.0,0.0,0.0
18000,manual_val,12,Reading pa_elon.png,elon,"Reading paper man img, park bench, calm face, grey overcoat",0,1,0.6865273714065552,0.6865273714065552,0.9692108762213791,1.0,0.0,0.0,0.0
18000,manual_val,13,Rushing ma_elon.png,elon,"Rushing man img portrait, subway platform, anxious face, swinging briefcase",0,1,0.6796180009841919,0.6796180009841919,0.9603239468013969,1.0,0.0,0.0,0.0
18000,manual_val,14,Skiing man_elon.png,elon,"Skiing man img, snowy slope, fearless grin, orange goggles",0,1,0.37502777576446533,0.37502777576446533,0.9781979791203723,1.0,0.0,0.0,0.0
18000,manual_val,15,Drumming m_elon.png,elon,"Drumming man img, rock concert in rain, passionate angry face, black t-shirt",0,1,0.6055523753166199,0.6055523753166199,0.9817045961624274,1.0,0.0,0.0,0.0
18000,manual_val,16,Kickboxing_elon.png,elon,"Kickboxing man img, gym ring, fierce roar face, sweatband",0,1,0.6161361932754517,0.6161361932754517,0.9627181742156519,1.0,0.0,0.0,0.0
18000,manual_val,17,Dancing ma_elon.png,elon,"Dancing man img, neon club, euphoric face, silver jumpsuit",0,1,0.4822366535663605,0.4822366535663605,0.8717105263157895,1.0,0.0,0.0,0.0
18000,manual_val,18,Angry man _elon.png,elon,"Angry man img, traffic jam, scowling face, dark suit",0,1,0.6279349327087402,0.6279349327087402,0.950592885375494,1.0,0.0,0.0,0.0
18000,manual_val,19,Crying man_elon.png,elon,"Crying man img, stormy alley, tearful face, ripped jeans",0,1,0.5483531355857849,0.5483531355857849,0.9737704918032787,1.0,0.0,0.0,0.0
18000,manual_val,20,Laughing m_elon.png,elon,"Laughing man img, carnival wheel, carefree laugh, polka-dot shirt",0,1,0.5945345163345337,0.5945345163345337,0.9441776493951977,1.0,0.0,0.0,0.0
18000,manual_val,21,Jumping ma_elon.png,elon,"Jumping man img, beach sunset, ecstatic face, blue tank top",0,1,0.505035400390625,0.505035400390625,0.9188235294117647,1.0,0.0,0.0,0.0
18000,manual_val,22,Night-ride_elon.png,elon,"Night-ride biker man img, neon city, excited face, reflective vest",0,1,0.6687982678413391,0.6687982678413391,0.9273630458192934,1.0,0.0,0.0,0.0
18000,manual_val,23,Chef man i_elon.png,elon,"Chef man img, bustling kitchen, proud grin, tall white toque",0,1,0.6349315643310547,0.6349315643310547,0.9051372488882073,2.0,0.0,0.0,0.0
18000,manual_val,24,Reading pa_jennie.png,jennie,"Reading paper woman img, park bench, calm face, grey overcoat",0,1,0.5790675282478333,0.5790675282478333,0.912227910430263,1.0,0.0,0.0,0.0
18000,manual_val,25,Rushing wo_jennie.png,jennie,"Rushing woman img portrait, subway platform, anxious face, swinging briefcase",0,1,0.6116407513618469,0.6116407513618469,0.9474313022700119,1.0,0.0,0.0,0.0
18000,manual_val,26,Skiing wom_jennie.png,jennie,"Skiing woman img, snowy slope, fearless grin, orange goggles",0,1,0.5644192099571228,0.5644192099571228,0.9738512312769738,1.0,0.0,0.0,0.0
