validation_step,partition,image_index,output_key,identity,prompt,seed,generated_image_count,id_sim,id_sim_legacy_best,id_sim_mask_iou,id_sim_face_count,id_sim_no_face,id_sim_unowned,id_sim_ambiguous
18000,manual_val,0,Reading pa_eddie.png,eddie,"Reading paper man img, park bench, calm face, grey overcoat",0,1,0.5743948817253113,0.014189254492521286,0.8593531737576059,1.0,0.0,0.0,0.0
18000,manual_val,1,Rushing ma_eddie.png,eddie,"Rushing man img portrait, subway platform, anxious face, swinging briefcase",0,1,0.6108762621879578,0.008833293803036213,0.8239612511671335,1.0,0.0,0.0,0.0
18000,manual_val,2,Skiing man_eddie.png,eddie,"Skiing man img, snowy slope, fearless grin, orange goggles",0,1,0.45240816473960876,0.008725405670702457,0.8687473187473187,1.0,0.0,0.0,0.0
18000,manual_val,3,Drumming m_eddie.png,eddie,"Drumming man img, rock concert in rain, passionate angry face, black t-shirt",0,1,0.5794715881347656,0.029823092743754387,0.9595076578781733,1.0,0.0,0.0,0.0
18000,manual_val,4,Kickboxing_eddie.png,eddie,"Kickboxing man img, gym ring, fierce roar face, sweatband",0,1,0.616714358329773,0.0378224141895771,0.880361733609979,1.0,0.0,0.0,0.0
18000,manual_val,5,Dancing ma_eddie.png,eddie,"Dancing man img, neon club, euphoric face, silver jumpsuit",0,1,0.38838648796081543,0.04006930813193321,0.4504744169548639,1.0,0.0,0.0,0.0
18000,manual_val,6,Angry man _eddie.png,eddie,"Angry man img, traffic jam, scowling face, dark suit",0,1,0.6106376051902771,0.018124323338270187,0.9091144802740212,1.0,0.0,0.0,0.0
18000,manual_val,7,Crying man_eddie.png,eddie,"Crying man img, stormy alley, tearful face, ripped jeans",0,1,0.6151533722877502,0.0033740676008164883,0.9233457086700153,1.0,0.0,0.0,0.0
18000,manual_val,8,Laughing m_eddie.png,eddie,"Laughing man img, carnival wheel, carefree laugh, polka-dot shirt",0,1,0.44917750358581543,0.05653906986117363,0.8813103246563323,1.0,0.0,0.0,0.0
18000,manual_val,9,Jumping ma_eddie.png,eddie,"Jumping man img, beach sunset, ecstatic face, blue tank top",0,1,0.3407931327819824,-4.088109562871978e-05,0.9288608383980053,1.0,0.0,0.0,0.0
18000,manual_val,10,Night-ride_eddie.png,eddie,"Night-ride biker man img, neon city, excited face, reflective vest",0,1,0.5691635608673096,0.1120433583855629,0.828839011787502,1.0,0.0,0.0,0.0
18000,manual_val,11,Chef man i_eddie.png,eddie,"Chef man img, bustling kitchen, proud grin, tall white toque",0,1,0.5761653184890747,0.048663150519132614,0.9035583638177586,2.0,0.0,0.0,0.0
18000,manual_val,12,Reading pa_elon.png,elon,"Reading paper man img, park bench, calm face, grey overcoat",0,1,0.647792398929596,0.647792398929596,0.973446375789128,1.0,0.0,0.0,0.0
18000,manual_val,13,Rushing ma_elon.png,elon,"Rushing man img portrait, subway platform, anxious face, swinging briefcase",0,1,0.6744356155395508,0.6744356155395508,0.9575374433565053,1.0,0.0,0.0,0.0
18000,manual_val,14,Skiing man_elon.png,elon,"Skiing man img, snowy slope, fearless grin, orange goggles",0,1,0.3685690462589264,0.3685690462589264,0.9825667686889439,1.0,0.0,0.0,0.0
18000,manual_val,15,Drumming m_elon.png,elon,"Drumming man img, rock concert in rain, passionate angry face, black t-shirt",0,1,0.5680583715438843,0.5680583715438843,0.9683241252302026,1.0,0.0,0.0,0.0
18000,manual_val,16,Kickboxing_elon.png,elon,"Kickboxing man img, gym ring, fierce roar face, sweatband",0,1,0.5892846584320068,0.5892846584320068,0.9221843249778933,1.0,0.0,0.0,0.0
18000,manual_val,17,Dancing ma_elon.png,elon,"Dancing man img, neon club, euphoric face, silver jumpsuit",0,1,0.4473955035209656,0.4473955035209656,0.8769303498266625,1.0,0.0,0.0,0.0
18000,manual_val,18,Angry man _elon.png,elon,"Angry man img, traffic jam, scowling face, dark suit",0,1,0.610307514667511,0.610307514667511,0.94410144245411,1.0,0.0,0.0,0.0
18000,manual_val,19,Crying man_elon.png,elon,"Crying man img, stormy alley, tearful face, ripped jeans",0,1,0.5494390726089478,0.5494390726089478,0.9689326819574398,1.0,0.0,0.0,0.0
18000,manual_val,20,Laughing m_elon.png,elon,"Laughing man img, carnival wheel, carefree laugh, polka-dot shirt",0,1,0.601083517074585,0.601083517074585,0.9480816444423049,1.0,0.0,0.0,0.0
18000,manual_val,21,Jumping ma_elon.png,elon,"Jumping man img, beach sunset, ecstatic face, blue tank top",0,1,0.46871086955070496,0.46871086955070496,0.9097262667443214,1.0,0.0,0.0,0.0
18000,manual_val,22,Night-ride_elon.png,elon,"Night-ride biker man img, neon city, excited face, reflective vest",0,1,0.699061393737793,0.699061393737793,0.9178163116377662,1.0,0.0,0.0,0.0
18000,manual_val,23,Chef man i_elon.png,elon,"Chef man img, bustling kitchen, proud grin, tall white toque",0,1,0.6332465410232544,0.6332465410232544,0.9183354288693305,3.0,0.0,0.0,0.0
18000,manual_val,24,Reading pa_jennie.png,jennie,"Reading paper woman img, park bench, calm face, grey overcoat",0,1,0.6068571209907532,0.6068571209907532,0.9122615803814714,1.0,0.0,0.0,0.0
18000,manual_val,25,Rushing wo_jennie.png,jennie,"Rushing woman img portrait, subway platform, anxious face, swinging briefcase",0,1,0.6038904190063477,0.6038904190063477,0.9386400625647312,1.0,0.0,0.0,0.0
18000,manual_val,26,Skiing wom_jennie.png,jennie,"Skiing woman img, snowy slope, fearless grin, orange goggles",0,1,0.612416684627533,0.612416684627533,0.9623236299674862,1.0,0.0,0.0,0.0
18000,manual_val,27,Drumming w_jennie.png,jennie,"Drumming woman img, rock concert in rain, passionate angry face, black t-shirt",0,1,0.6485294699668884,0.6485294699668884,0.8983674527079555,1.0,0.0,0.0,0.0
18000,manual_val,28,Kickboxing_jennie.png,jennie,"Kickboxing woman img, gym ring, fierce roar face, sweatband",0,1,0.6558924913406372,0.6558924913406372,0.9793572489103884,1.0,0.0,0.0,0.0
18000,manual_val,29,Dancing wo_jennie.png,jennie,"Dancing woman img, neon club, euphoric face, silver jumpsuit",0,1,0.5115087032318115,0.5115087032318115,0.9583333333333334,1.0,0.0,0.0,0.0
18000,manual_val,30,Angry woma_jennie.png,jennie,"Angry woman img, traffic jam, scowling face, dark suit",0,1,0.6386816501617432,0.6386816501617432,0.9152978734359714,1.0,0.0,0.0,0.0
18000,manual_val,31,Crying wom_jennie.png,jennie,"Crying woman img, stormy alley, tearful face, ripped jeans",0,1,0.5720556974411011,0.5720556974411011,0.9791110702125702,1.0,0.0,0.0,0.0
18000,manual_val,32,Laughing w_jennie.png,jennie,"Laughing woman img, carnival wheel, carefree laugh, polka-dot shirt",0,1,0.6138546466827393,0.6138546466827393,0.9595551061678463,1.0,0.0,0.0,0.0
18000,manual_val,33,Jumping wo_jennie.png,jennie,"Jumping woman img, beach sunset, ecstatic face, blue tank top",0,1,0.3989514112472534,0.3989514112472534,0.9497645211930926,1.0,0.0,0.0,0.0
18000,manual_val,34,Night-ride_jennie.png,jennie,"Night-ride biker woman img, neon city, excited face, reflective vest",0,1,0.65816330909729,0.65816330909729,0.9735453458101738,1.0,0.0,0.0,0.0
18000,manual_val,35,Chef woman_jennie.png,jennie,"Chef woman img, bustling kitchen, proud grin, tall white toque",0,1,0.5897611379623413,0.5897611379623413,0.90788877515061,2.0,0.0,0.0,0.0
18000,manual_val,36,Reading pa_jensen.png,jensen,"Reading paper man img, park bench, calm face, grey overcoat",0,1,0.6343321204185486,0.6343321204185486,0.9661143689243968,1.0,0.0,0.0,0.0
18000,manual_val,37,Rushing ma_jensen.png,jensen,"Rushing man img portrait, subway platform, anxious face, swinging briefcase",0,1,0.6256270408630371,0.6256270408630371,0.9614505362438113,1.0,0.0,0.0,0.0
18000,manual_val,38,Skiing man_jensen.png,jensen,"Skiing man img, snowy slope, fearless grin, orange goggles",0,1,0.4916199743747711,0.4916199743747711,0.8809538979656851,1.0,0.0,0.0,0.0
18000,manual_val,39,Drumming m_jensen.png,jensen,"Drumming man img, rock concert in rain, passionate angry face, black t-shirt",0,1,0.6145852208137512,0.6145852208137512,0.9354468085106383,1.0,0.0,0.0,0.0
18000,manual_val,40,Kickboxing_jensen.png,jensen,"Kickboxing man img, gym ring, fierce roar face, sweatband",0,1,0.5047274231910706,0.5047274231910706,0.9217886740331491,1.0,0.0,0.0,0.0
18000,manual_val,41,Dancing ma_jensen.png,jensen,"Dancing man img, neon club, euphoric face, silver jumpsuit",0,1,0.5317026972770691,0.5317026972770691,0.8418352967701933,1.0,0.0,0.0,0.0
18000,manual_val,42,Angry man _jensen.png,jensen,"Angry man img, traffic jam, scowling face, dark suit",0,1,0.6136875748634338,0.6136875748634338,0.92633282234713,1.0,0.0,0.0,0.0
18000,manual_val,43,Crying man_jensen.png,jensen,"Crying man img, stormy alley, tearful face, ripped jeans",0,1,0.667805552482605,0.667805552482605,0.9407745847388872,1.0,0.0,0.0,0.0
18000,manual_val,44,Laughing m_jensen.png,jensen,"Laughing man img, carnival wheel, carefree laugh, polka-dot shirt",0,1,0.6238490343093872,0.6238490343093872,0.9284525790349417,1.0,0.0,0.0,0.0
18000,manual_val,45,Jumping ma_jensen.png,jensen,"Jumping man img, beach sunset, ecstatic face, blue tank top",0,1,0.519046425819397,0.519046425819397,0.9041263621892984,1.0,0.0,0.0,0.0
18000,manual_val,46,Night-ride_jensen.png,jensen,"Night-ride biker man img, neon city, excited face, reflective vest",0,1,0.4924314618110657,0.4924314618110657,0.9409055839521651,1.0,0.0,0.0,0.0
18000,manual_val,47,Chef man i_jensen.png,jensen,"Chef man img, bustling kitchen, proud grin, tall white toque",0,1,0.528263509273529,0.528263509273529,0.918282354042208,2.0,0.0,0.0,0.0
18000,manual_val,48,Reading pa_jisoo.png,jisoo,"Reading paper woman img, park bench, calm face, grey overcoat",0,1,0.6098174452781677,0.6098174452781677,0.9590040241448692,1.0,0.0,0.0,0.0
18000,manual_val,49,Rushing wo_jisoo.png,jisoo,"Rushing woman img portrait, subway platform, anxious face, swinging briefcase",0,1,0.6308055520057678,0.6308055520057678,0.9477335464187128,1.0,0.0,0.0,0.0
18000,manual_val,50,Skiing wom_jisoo.png,jisoo,"Skiing woman img, snowy slope, fearless grin, orange goggles",0,1,0.3954169750213623,0.3954169750213623,0.9711820825898189,1.0,0.0,0.0,0.0
18000,manual_val,51,Drumming w_jisoo.png,jisoo,"Drumming woman img, rock concert in rain, passionate angry face, black t-shirt",0,1,0.6297538876533508,0.6297538876533508,0.9879518072289156,1.0,0.0,0.0,0.0
18000,manual_val,52,Kickboxing_jisoo.png,jisoo,"Kickboxing woman img, gym ring, fierce roar face, sweatband",0,1,0.624019980430603,0.624019980430603,0.9924964677156065,1.0,0.0,0.0,0.0
18000,manual_val,53,Dancing wo_jisoo.png,jisoo,"Dancing woman img, neon club, euphoric face, silver jumpsuit",0,1,0.4470941424369812,0.4470941424369812,0.9271962259339539,1.0,0.0,0.0,0.0
18000,manual_val,54,Angry woma_jisoo.png,jisoo,"Angry woman img, traffic jam, scowling face, dark suit",0,1,0.626720666885376,0.626720666885376,0.9347033374536465,1.0,0.0,0.0,0.0
18000,manual_val,55,Crying wom_jisoo.png,jisoo,"Crying woman img, stormy alley, tearful face, ripped jeans",0,1,0.5769376158714294,0.5769376158714294,0.8757722859664607,1.0,0.0,0.0,0.0
18000,manual_val,56,Laughing w_jisoo.png,jisoo,"Laughing woman img, carnival wheel, carefree laugh, polka-dot shirt",0,1,0.6179993748664856,0.6179993748664856,0.9276531383917318,1.0,0.0,0.0,0.0
18000,manual_val,57,Jumping wo_jisoo.png,jisoo,"Jumping woman img, beach sunset, ecstatic face, blue tank top",0,1,0.3915254771709442,0.3915254771709442,0.9387588013754707,1.0,0.0,0.0,0.0
