run,comet_key,selected_step,id_sim,text_sim,mask_iou,face_count,topiq_face_mean,topiq_face_p10,delta_vs_PM0
PM0,74efd227d3f8488a98e83d815c77c07c,0,0.5565802762284875,26.00146484375,0.865153382335067,1.1354166666666667,0.7531917116915187,0.5918496251106262,0.0
CL27,dbfbf40c3bdd4f70bedc58bda3dfb9cd,16000,0.5472602248191833,26.2431640625,0.9210659629991463,1.125,0.7141642874727646,0.5881758630275726,-0.009320051409304142
CL30,db38cfb250d241cf89bf57705ff86b18,16000,0.5378256496042013,26.286946614583332,0.9259351942276686,1.1354166666666667,0.7076720083132386,0.5874179899692535,-0.018754626624286175
CL31,ed5077fd3cfc41bd898c1234b8c3ba24,24000,0.5370794751991829,26.30859375,0.9246566006497323,1.1354166666666667,,,-0.019500801029304626
CL32,078cf231674f4fa499e160a435300511,18000,0.542138458074381,26.3095703125,0.925686351959388,1.1145833333333333,0.7130549540743232,0.5817243754863739,-0.0144418181541065
CL33,3173f3086fa344f7ad3eb6ce7b07ac1f,16000,0.5463114225616058,26.168619791666668,0.9205020579637274,1.1145833333333333,0.7140057841315866,0.5797147452831268,-0.010268853666881683
CL34,577cc412ffa04e5686e5c10760186c65,18000,0.5388387241400778,26.394205729166668,0.9251975730745908,1.1145833333333333,0.7156811092669765,0.5890949964523315,-0.017741552088409662
CL35,f3417ee9a86342cb9bc13e5eb37bb3e2,24000,0.5379507051159939,26.146484375,0.9234183717459227,1.1041666666666667,0.7146360784148177,0.5844305157661438,-0.018629571112493637
CL36,41dcb0987d5d439bb14329052953ff6d,4000,0.5289584626443684,26.44140625,0.9197320247583831,1.1145833333333333,0.7124674577886859,0.5900812447071075,-0.02762181358411908
CL37,f3c535315da242d78494d7df6dd1eaa3,18000,0.5373426432100435,26.337565104166668,0.924831864453527,1.09375,0.7159410382931432,0.585584819316864,-0.019237633018443945
