run,step,manual_val/id_sim,manual_val/text_sim,manual_val/id_sim_mask_iou,manual_val/id_sim_face_count,manual_val/id_sim_no_face,manual_val/id_sim_unowned,manual_val/id_sim_ambiguous,face_quality/topiq_face_mean,face_quality/topiq_face_p10,face_quality/face_detection_rate
PM0,0,0.5565802762284875,26.00146484375,0.865153382335067,1.1354166666666667,0.0,0.0,0.0,0.7531917116915187,0.5918496251106262,1.0
CL27,0,0.46463953074999154,25.886555989583332,0.8310820912121564,1.125,0.0,0.0,0.0,0.6732196708520254,0.5854183733463287,1.0
CL27,2000,0.49181633551294607,26.60205078125,0.9104255268106737,1.1145833333333333,0.0,0.0,0.0,0.7067861923327049,0.5716617405414581,1.0
CL27,4000,0.5047583457586976,26.460123697916668,0.9165773450339336,1.125,0.0,0.0,0.0,0.6971531392385563,0.5652705729007721,1.0
CL27,6000,0.5187745206058025,26.49609375,0.9162453976990634,1.125,0.0,0.0,0.0,0.7129176687449217,0.5698773562908173,1.0
CL27,8000,0.514298963205268,26.779134114583332,0.920034163745378,1.1354166666666667,0.0,0.0,0.0,0.7034380249679089,0.5542541444301605,1.0
CL27,10000,0.5253868354484439,26.555338541666668,0.9215689099578679,1.1041666666666667,0.0,0.0,0.0,0.7081255201871196,0.5688708424568176,1.0
CL27,12000,0.5288155749440193,26.47607421875,0.9214751805974402,1.1145833333333333,0.0,0.0,0.0,0.7170583596453071,0.5828134417533875,1.0
CL27,14000,0.5391606669872999,26.339192708333332,0.9208932628803407,1.1145833333333333,0.0,0.0,0.0,0.7091105204696456,0.5798101127147675,1.0
CL27,16000,0.5472602248191833,26.2431640625,0.9210659629991463,1.125,0.0,0.0,0.0,0.7141642874727646,0.5881758630275726,1.0
CL27,18000,0.545320939583083,26.269856770833332,0.923999102167049,1.1145833333333333,0.0,0.0,0.0,0.7137530359129111,0.580426037311554,1.0
CL27,20000,0.5403133733198047,26.28564453125,0.9234754595810827,1.1145833333333333,0.0,0.0,0.0,0.7104061162099242,0.5872898697853088,1.0
CL27,22000,0.5418943834180633,26.275065104166668,0.9234096390633142,1.1041666666666667,0.0,0.0,0.0,0.7098684655502439,0.5887008309364319,1.0
CL27,24000,0.5430809278041124,26.21337890625,0.9231078691199857,1.1041666666666667,0.0,0.0,0.0,0.7114879169190923,0.5970606207847595,1.0
CL30,0,0.46463953074999154,25.886555989583332,0.8310820912121564,1.125,0.0,0.0,0.0,0.6732196708520254,0.5854183733463287,1.0
CL30,2000,0.49141560459975153,26.726236979166668,0.9115456055147245,1.125,0.0,0.0,0.0,0.6970157704005638,0.5745542645454407,1.0
CL30,4000,0.5020009654884537,26.766927083333332,0.9182757554232102,1.1458333333333333,0.0,0.0,0.0,0.6900691172728936,0.5655895173549652,1.0
CL30,6000,0.5136366855973998,26.54931640625,0.9172999573981556,1.15625,0.0,0.0,0.0,0.7058986242239674,0.5794812738895416,1.0
CL30,8000,0.5238227536901832,26.499674479166668,0.9249381191179475,1.1458333333333333,0.0,0.0,0.0,0.7015848532319069,0.5689615309238434,1.0
CL30,10000,0.5234802363750836,26.397623697916668,0.9236682702050013,1.1354166666666667,0.0,0.0,0.0,0.6993727153167129,0.559669017791748,1.0
CL30,12000,0.5302264128501216,26.337239583333332,0.9241568968781378,1.1354166666666667,0.0,0.0,0.0,0.7127689042439064,0.5865460336208344,1.0
CL30,14000,0.5291426874076327,26.457356770833332,0.9229242847184999,1.1354166666666667,0.0,0.0,0.0,0.7135812398046255,0.5882996916770935,1.0
CL30,16000,0.5378256496042013,26.286946614583332,0.9259351942276686,1.1354166666666667,0.0,0.0,0.0,0.7076720083132386,0.5874179899692535,1.0
CL30,18000,0.5336303762160242,26.391927083333332,0.9253412672777884,1.09375,0.0,0.0,0.0,0.7068494213744998,0.5848716497421265,1.0
CL30,20000,0.5319561579575142,26.44189453125,0.9245285654020269,1.1041666666666667,0.0,0.0,0.0,0.7113517870505651,0.5907064080238342,1.0
CL30,22000,0.5370400259271264,26.38134765625,0.9263181548049245,1.1041666666666667,0.0,0.0,0.0,0.7101218681782484,0.5856305956840515,1.0
CL30,24000,0.5362734977776805,26.36865234375,0.9254643749329271,1.1041666666666667,0.0,0.0,0.0,0.710304705115656,0.5747291743755341,1.0
CL31,0,0.46463953074999154,25.886555989583332,0.8310820912121564,1.125,0.0,0.0,0.0,,,
CL31,2000,0.48778235256516683,26.5146484375,0.9114306415870651,1.1041666666666667,0.0,0.0,0.0,,,
CL31,4000,0.5104055931248391,26.452473958333332,0.915196998368668,1.1145833333333333,0.0,0.0,0.0,,,
CL31,6000,0.5224204515106976,26.341796875,0.919403470406284,1.1041666666666667,0.0,0.0,0.0,,,
CL31,8000,0.516408635613819,26.520345052083332,0.9221137057980756,1.1354166666666667,0.0,0.0,0.0,,,
CL31,10000,0.5230836231882373,26.394368489583332,0.9241514170652008,1.09375,0.0,0.0,0.0,,,
CL31,12000,0.5347760769849023,26.397786458333332,0.9224951542358794,1.1145833333333333,0.0,0.0,0.0,,,
CL31,14000,0.5367371384054422,26.250651041666668,0.9253425347959524,1.0833333333333333,0.0,0.0,0.0,,,
CL31,16000,0.5317826156194011,26.386881510416668,0.9242619258547036,1.1041666666666667,0.0,0.0,0.0,,,
CL31,18000,0.536117656622082,26.3359375,0.9240978755004795,1.1145833333333333,0.0,0.0,0.0,,,
CL31,20000,0.5358035002524654,26.326822916666668,0.9236669620789136,1.125,0.0,0.0,0.0,,,
CL31,22000,0.535079348521928,26.31005859375,0.9247282850222306,1.125,0.0,0.0,0.0,,,
CL31,24000,0.5370794751991829,26.30859375,0.9246566006497323,1.1354166666666667,0.0,0.0,0.0,,,
CL32,0,0.46463953074999154,25.886555989583332,0.8310820912121564,1.125,0.0,0.0,0.0,0.6732196708520254,0.5854183733463287,1.0
CL32,2000,0.49128269104403444,26.676432291666668,0.9109208794843306,1.1041666666666667,0.0,0.0,0.0,0.7096937984849016,0.5698447227478027,1.0
CL32,4000,0.5102037566054302,26.490234375,0.9176234629277585,1.1354166666666667,0.0,0.0,0.0,0.7049999376758933,0.5615088045597076,1.0
CL32,6000,0.5182056394405663,26.454752604166668,0.9186993661216007,1.1145833333333333,0.0,0.0,0.0,0.7135412919645509,0.5681621134281158,1.0
CL32,8000,0.513908707536757,26.685872395833332,0.92154272648684,1.1354166666666667,0.0,0.0,0.0,0.7097866600379348,0.5635936260223389,1.0
CL32,10000,0.5217308012458185,26.513509114583332,0.9201263412844015,1.125,0.0,0.0,0.0,0.7107489059368769,0.5697644352912903,1.0
CL32,12000,0.5228949175216258,26.60302734375,0.9228139097456403,1.09375,0.0,0.0,0.0,0.7162645418817798,0.5794242024421692,1.0
CL32,14000,0.5365302014785508,26.368001302083332,0.9235947243539945,1.09375,0.0,0.0,0.0,0.7143576402838031,0.5750809013843536,1.0
CL32,16000,0.5393173067520062,26.29345703125,0.9228860684883401,1.1041666666666667,0.0,0.0,0.0,0.7166154623652498,0.5953139364719391,1.0
CL32,18000,0.542138458074381,26.3095703125,0.925686351959388,1.1145833333333333,0.0,0.0,0.0,0.7130549540743232,0.5817243754863739,1.0
CL32,20000,0.534223863389343,26.289713541666668,0.9243900631759745,1.1041666666666667,0.0,0.0,0.0,0.7115275316561261,0.5874145925045013,1.0
CL32,22000,0.5337777074115971,26.33642578125,0.9248308717897032,1.1041666666666667,0.0,0.0,0.0,0.7118038414046168,0.585597813129425,1.0
CL32,24000,0.5348672868373493,26.40087890625,0.9247487957897267,1.1041666666666667,0.0,0.0,0.0,0.7131082393849889,0.5871203243732452,1.0
CL33,0,0.46463953074999154,25.886555989583332,0.8310820912121564,1.125,0.0,0.0,0.0,0.6732196708520254,0.5854183733463287,1.0
CL33,2000,0.47940172158026445,26.72119140625,0.9067549563172586,1.1041666666666667,0.0,0.0,0.0,0.7056659338995814,0.558094710111618,1.0
CL33,4000,0.5057749073021114,26.46630859375,0.9170474376964449,1.1145833333333333,0.0,0.0,0.0,0.6986845172941685,0.5534569025039673,1.0
CL33,6000,0.5155724591265122,26.41015625,0.9218770495408765,1.1145833333333333,0.0,0.0,0.0,0.7076691954086224,0.5680942833423615,1.0
CL33,8000,0.5105746709741652,26.50830078125,0.9169784112848882,1.1145833333333333,0.0,0.0,0.0,0.7000435094038645,0.5532170236110687,1.0
CL33,10000,0.5320944950605432,26.307454427083332,0.9211740659800093,1.1041666666666667,0.0,0.0,0.0,0.7069173684964577,0.5526637732982635,1.0
CL33,12000,0.5239023260461787,26.3359375,0.9210589446370351,1.1041666666666667,0.0,0.0,0.0,0.7154478179290891,0.5717923641204834,1.0
CL33,14000,0.5391187057830393,26.310709635416668,0.9227060120420619,1.1145833333333333,0.0,0.0,0.0,0.7103518877799312,0.5563869774341583,1.0
CL33,16000,0.5463114225616058,26.168619791666668,0.9205020579637274,1.1145833333333333,0.0,0.0,0.0,0.7140057841315866,0.5797147452831268,1.0
CL33,18000,0.5393877870713671,26.214029947916668,0.923337009792073,1.1145833333333333,0.0,0.0,0.0,0.7075550360605121,0.5697423219680786,1.0
CL33,20000,0.5399223300628364,26.129231770833332,0.9244159915643596,1.1145833333333333,0.0,0.0,0.0,0.7081790082156658,0.5864332914352417,1.0
CL33,22000,0.5424023568630219,26.189615885416668,0.9244215506928276,1.1041666666666667,0.0,0.0,0.0,0.7085598949342966,0.5806823670864105,1.0
