run,step,slice_type,slice,count,mean_id_sim
CL33,16000,prompt,Angry,8,0.6019795536994934
CL33,16000,prompt,Chef,8,0.5512973479926586
CL33,16000,prompt,Crying,8,0.57099399715662
CL33,16000,prompt,Dancing,8,0.4496423825621605
CL33,16000,prompt,Drumming,8,0.5687140598893166
CL33,16000,prompt,Jumping,8,0.4045715034008026
CL33,16000,prompt,Kickboxing,8,0.5812200456857681
CL33,16000,prompt,Laughing,8,0.5395593121647835
CL33,16000,prompt,Night-ride,8,0.590911976993084
CL33,16000,prompt,Reading,8,0.6027708873152733
CL33,16000,prompt,Rushing,8,0.6320933848619461
CL33,16000,prompt,Skiing,8,0.4619826190173626
CL34,18000,identity,eddie,12,0.528845784564813
CL34,18000,identity,elon,12,0.5837718869249026
CL34,18000,identity,jennie,12,0.5792581290006638
CL34,18000,identity,jensen,12,0.5901996865868568
CL34,18000,identity,jisoo,12,0.5588576917846998
CL34,18000,identity,keanu,12,0.5142473230759302
CL34,18000,identity,lex,12,0.4818312426408132
CL34,18000,identity,marion,12,0.47369804854194325
CL34,18000,prompt,Angry,8,0.5974643528461456
CL34,18000,prompt,Chef,8,0.558106292039156
CL34,18000,prompt,Crying,8,0.5611093379557133
CL34,18000,prompt,Dancing,8,0.42273111641407013
CL34,18000,prompt,Drumming,8,0.5692644864320755
CL34,18000,prompt,Jumping,8,0.39780839905142784
CL34,18000,prompt,Kickboxing,8,0.5884633883833885
CL34,18000,prompt,Laughing,8,0.5394626446068287
CL34,18000,prompt,Night-ride,8,0.5747456513345242
CL34,18000,prompt,Reading,8,0.6039204224944115
CL34,18000,prompt,Rushing,8,0.6374160200357437
CL34,18000,prompt,Skiing,8,0.4155725780874491
CL35,24000,identity,eddie,12,0.5346703752875328
CL35,24000,identity,elon,12,0.5961400792002678
CL35,24000,identity,jennie,12,0.5780870939294497
CL35,24000,identity,jensen,12,0.5642992109060287
CL35,24000,identity,jisoo,12,0.5968512992064158
CL35,24000,identity,keanu,12,0.525137409567833
CL35,24000,identity,lex,12,0.4485102916757266
CL35,24000,identity,marion,12,0.45990988115469617
CL35,24000,prompt,Angry,8,0.5852302126586437
CL35,24000,prompt,Chef,8,0.5561174750328064
CL35,24000,prompt,Crying,8,0.5740269720554352
CL35,24000,prompt,Dancing,8,0.4619237780570984
CL35,24000,prompt,Drumming,8,0.5637550428509712
CL35,24000,prompt,Jumping,8,0.3933144137263298
CL35,24000,prompt,Kickboxing,8,0.5767194703221321
CL35,24000,prompt,Laughing,8,0.5374896340072155
CL35,24000,prompt,Night-ride,8,0.5707945264875889
CL35,24000,prompt,Reading,8,0.5986458770930767
CL35,24000,prompt,Rushing,8,0.6198706105351448
CL35,24000,prompt,Skiing,8,0.4175204485654831
CL36,4000,identity,eddie,12,0.5127680748701096
CL36,4000,identity,elon,12,0.574667751789093
CL36,4000,identity,jennie,12,0.5509866774082184
CL36,4000,identity,jensen,12,0.5686260138948759
CL36,4000,identity,jisoo,12,0.5694173872470856
CL36,4000,identity,keanu,12,0.5246244072914124
CL36,4000,identity,lex,12,0.47129307438929874
CL36,4000,identity,marion,12,0.4592843142648538
CL36,4000,prompt,Angry,8,0.587134126573801
CL36,4000,prompt,Chef,8,0.5470583625137806
CL36,4000,prompt,Crying,8,0.5657670609652996
CL36,4000,prompt,Dancing,8,0.43421344459056854
CL36,4000,prompt,Drumming,8,0.5694004632532597
CL36,4000,prompt,Jumping,8,0.37843892350792885
CL36,4000,prompt,Kickboxing,8,0.5716076716780663
CL36,4000,prompt,Laughing,8,0.5145545713603497
CL36,4000,prompt,Night-ride,8,0.5782351233065128
CL36,4000,prompt,Reading,8,0.5915991626679897
CL36,4000,prompt,Rushing,8,0.6167182102799416
CL36,4000,prompt,Skiing,8,0.3927744310349226
CL37,18000,identity,eddie,12,0.5319451863567034
CL37,18000,identity,elon,12,0.5714487085739771
CL37,18000,identity,jennie,12,0.5925468951463699
CL37,18000,identity,jensen,12,0.5706398362914721
CL37,18000,identity,jisoo,12,0.5647249395648638
CL37,18000,identity,keanu,12,0.5216874306400617
CL37,18000,identity,lex,12,0.46685165042678517
CL37,18000,identity,marion,12,0.47889649868011475
CL37,18000,prompt,Angry,8,0.5880288071930408
CL37,18000,prompt,Chef,8,0.556722853332758
CL37,18000,prompt,Crying,8,0.5689055994153023
CL37,18000,prompt,Dancing,8,0.4219444487243891
CL37,18000,prompt,Drumming,8,0.5727865360677242
CL37,18000,prompt,Jumping,8,0.3930319771170616
CL37,18000,prompt,Kickboxing,8,0.5894608944654465
CL37,18000,prompt,Laughing,8,0.5467178821563721
CL37,18000,prompt,Night-ride,8,0.5864714160561562
CL37,18000,prompt,Reading,8,0.594749815762043
CL37,18000,prompt,Rushing,8,0.617486335337162
CL37,18000,prompt,Skiing,8,0.4118051528930664
